graph_id,n,vertex,coverage_fraction
n500_s500052,500,436,0.9619238476953907
n500_s500052,500,439,0.8997995991983968
n500_s500052,500,419,0.9899799599198397
n500_s500052,500,294,0.9679358717434869
n500_s500052,500,458,0.9939879759519038
n500_s500052,500,197,0.9839679358717435
n500_s500055,500,473,0.972
n500_s500055,500,255,0.978
n500_s500055,500,257,0.998
n500_s500055,500,83,0.93
n500_s500055,500,33,0.994
n500_s500055,500,114,0.934
n500_s500055,500,231,0.998
n500_s500055,500,135,0.994
n500_s500055,500,471,0.998
n500_s500055,500,143,0.984
n500_s500055,500,212,0.998
n500_s500055,500,420,0.992
n500_s500055,500,484,0.986
n500_s500055,500,409,0.966
n500_s500055,500,269,0.986
n500_s500055,500,393,0.958
n500_s500055,500,176,0.978
n500_s500055,500,168,0.97
n500_s500055,500,66,0.908
n500_s500055,500,496,0.982
n500_s500057,500,299,0.744
n500_s500057,500,386,0.916
n500_s500057,500,452,0.864
n500_s500057,500,401,0.906
n500_s500057,500,12,0.99
n500_s500057,500,393,0.998
n500_s500057,500,466,0.994
n500_s500057,500,120,0.982
n500_s500057,500,296,0.978
n500_s500057,500,409,0.996
n500_s500057,500,43,0.962
n500_s500057,500,454,0.978
n500_s500057,500,396,0.994
n500_s500057,500,406,0.976
n500_s500057,500,5,0.98
n500_s500057,500,131,0.862
n500_s500057,500,287,0.992
n500_s500057,500,87,0.836
n500_s500057,500,214,0.854
n500_s500057,500,307,0.994
n500_s500069,500,342,0.9779559118236473
n500_s500069,500,3,0.9799599198396793
n500_s500069,500,343,0.9338677354709419
n500_s500069,500,27,0.9398797595190381
n500_s500069,500,138,0.9579158316633266
n500_s500069,500,369,0.9939879759519038
n500_s500069,500,321,0.969939879759519
n500_s500069,500,63,0.9899799599198397
n500_s500069,500,436,0.9799599198396793
n500_s500069,500,443,0.9739478957915831
n500_s500069,500,366,0.9438877755511023
n500_s500069,500,192,0.9979959919839679
n500_s500069,500,496,0.9659318637274549
n500_s500069,500,146,0.9919839679358717
n500_s500069,500,371,0.9979959919839679
n500_s500069,500,289,0.9959919839679359
n500_s500069,500,246,0.9919839679358717
n500_s500069,500,459,1.0
n500_s500069,500,467,0.9899799599198397
n500_s500069,500,279,0.9939879759519038
n500_s500085,500,116,0.956
n500_s500085,500,281,0.95
n500_s500085,500,216,0.976
n500_s500085,500,381,0.882
n500_s500085,500,194,0.98
n500_s500085,500,233,0.986
n500_s500085,500,220,0.994
n500_s500085,500,360,0.792
n500_s500085,500,81,0.874
n500_s500085,500,246,0.99
n500_s500085,500,240,0.914
n500_s500085,500,104,0.978
n500_s500085,500,61,0.98
n500_s500085,500,132,0.966
n500_s500085,500,395,0.98
n500_s500085,500,263,0.896
n500_s500085,500,36,0.952
n500_s500085,500,128,0.982
n500_s500085,500,299,0.988
n500_s500085,500,225,0.976
n500_s500093,500,55,0.8897795591182365
n500_s500093,500,286,0.843687374749499
n500_s500093,500,279,0.9739478957915831
n500_s500093,500,242,0.9859719438877755
n500_s500093,500,267,0.8777555110220441
n500_s500093,500,105,0.9639278557114228
n500_s500093,500,300,0.9539078156312625
n500_s500093,500,12,0.9759519038076152
n500_s500093,500,312,0.9378757515030061
